array_index,u_k_lambda,v_k_lambda
0,-0.020858,-0.014119
0,-0.032467,0.075416
0,-0.032510,0.075397
0,-0.032554,0.075379
0,-0.032598,0.075360
0,-0.032641,0.075341
0,-0.032685,0.075322
0,-0.032728,0.075303
0,-0.032772,0.075285
0,-0.032815,0.075266
0,-0.032859,0.075247
0,-0.032902,0.075228
0,-0.032946,0.075209
0,-0.032989,0.075190
0,-0.033033,0.075171
0,-0.033076,0.075152
0,-0.033120,0.075133
0,-0.033163,0.075114
0,-0.033206,0.075095
0,-0.033250,0.075076
0,-0.033293,0.075056
0,-0.033336,0.075037
0,-0.033380,0.075018
0,-0.033423,0.074999
0,-0.033466,0.074980
0,-0.033509,0.074960
0,-0.033553,0.074941
0,-0.033596,0.074922
0,-0.033639,0.074902
0,-0.033682,0.074883
0,-0.033725,0.074863
0,-0.033769,0.074844
0,-0.033812,0.074825
0,-0.033855,0.074805
0,-0.033898,0.074786
0,-0.033941,0.074766
0,-0.033984,0.074747
0,-0.034027,0.074727
0,-0.034070,0.074707
0,-0.034113,0.074688
0,-0.034156,0.074668
0,-0.034199,0.074648
0,-0.034242,0.074629
0,-0.034285,0.074609
0,-0.034328,0.074589
0,-0.072839,0.043454
0,-0.072864,0.043412
0,-0.072889,0.043371
0,-0.072915,0.043329
0,-0.072940,0.043287
0,-0.072965,0.043245
0,-0.072990,0.043203
0,-0.073015,0.043161
0,-0.073040,0.043118
0,-0.073066,0.043076
0,-0.073091,0.043034
0,-0.073116,0.042992
0,-0.073140,0.042950
0,-0.073165,0.042908
0,-0.073190,0.042866
0,-0.073215,0.042824
0,-0.073240,0.042782
0,-0.073265,0.042739
0,-0.073289,0.042697
0,-0.073314,0.042655
0,-0.073339,0.042613
0,-0.073363,0.042571
0,-0.073388,0.042528
0,-0.073412,0.042486
0,-0.073437,0.042444
0,-0.073461,0.042402
0,-0.073486,0.042359
0,-0.073510,0.042317
0,-0.073534,0.042275
0,-0.073558,0.042232
0,-0.073583,0.042190
0,-0.073607,0.042148
0,-0.073631,0.042105
0,-0.073655,0.042063
0,-0.073679,0.042020
0,-0.073703,0.041978
0,-0.073727,0.041935
0,-0.073751,0.041893
0,-0.073775,0.041851
0,-0.073799,0.041808
0,-0.073823,0.041766
0,-0.073847,0.041723
0,-0.073870,0.041681
0,-0.073894,0.041638
0,-0.071602,-0.000571
0,-0.071602,-0.000612
0,-0.071601,-0.000653
0,-0.071601,-0.000694
0,-0.071601,-0.000736
0,-0.071601,-0.000777
0,-0.071601,-0.000818
0,-0.071600,-0.000859
0,-0.071600,-0.000900
0,-0.071600,-0.000942
0,-0.071599,-0.000983
0,-0.071599,-0.001024
0,-0.071599,-0.001065
0,-0.071598,-0.001107
0,-0.071598,-0.001148
0,-0.071597,-0.001189
0,-0.071596,-0.001230
0,-0.071596,-0.001271
0,-0.071595,-0.001313
0,-0.071594,-0.001354
0,-0.071594,-0.001395
0,-0.071593,-0.001436
0,-0.071592,-0.001478
0,-0.071591,-0.001519
0,-0.071590,-0.001560
0,-0.071589,-0.001601
0,-0.071588,-0.001642
0,-0.071587,-0.001684
0,-0.071586,-0.001725
0,-0.071585,-0.001766
